date_key,total_trips,total_revenue,average_fare
2024-01-31,476,10166.29,21.36
2024-01-30,479,11987.33,25.03
2024-01-29,472,13455.68,28.51
2024-01-28,475,8224.75,17.32
2024-01-27,483,8678.34,17.97
2024-01-26,478,8997.62,18.82
2024-01-25,485,9129.07,18.82
2024-01-24,490,9971.47,20.35
2024-01-23,478,9919.0,20.75
2024-01-22,467,13512.65,28.94
2024-01-21,460,8119.34,17.65
2024-01-20,476,8571.22,18.01
2024-01-19,482,8877.31,18.42
2024-01-18,479,11600.15,24.22
2024-01-17,489,13808.23,28.24
2024-01-16,469,13787.94,29.4
2024-01-15,470,10695.84,22.76
2024-01-14,479,8382.86,17.5
2024-01-13,463,7892.5,17.05
2024-01-12,481,9778.95,20.33
2024-01-11,477,9643.34,20.22
2024-01-10,467,8617.43,18.45
2024-01-09,472,11724.61,24.84
2024-01-08,475,13127.28,27.64
2024-01-07,471,8715.29,18.5
2024-01-06,482,8353.33,17.33
2024-01-05,479,10594.57,22.12
2024-01-04,474,11252.84,23.74
2024-01-03,478,13769.17,28.81
2024-01-02,475,12889.49,27.14
